OID_,YEAR,PRIMARY_SAMPLE_UNIT,ADMIN,PROT,MAPGRID_NR,STRAT,DEPTH_STRAT,lat,lon,NoTake
131,2025,4166,OPEN,0,65184,AGRFDEEP,DEEP,17.655400000000000,-64.798609999999996,0
132,2025,4167,OPEN,0,26484,AGRFDEEP,DEEP,17.638710000000000,-64.892409999999998,0
133,2025,4168,OPEN,0,38613,PVMTDEEP,DEEP,17.643840000000001,-64.878969999999995,0
134,2025,4169,OPEN,0,112578,PVMTDEEP,DEEP,17.675370000000001,-64.754480000000001,0
135,2025,4170,OPEN,0,52908,PVMTDEEP,DEEP,17.649629999999998,-64.881479999999996,0
136,2025,4172,OPEN,0,38600,PVMTDEEP,DEEP,17.643599999999999,-64.885159999999999,0
137,2025,4173,OPEN,0,68453,PVMTDEEP,DEEP,17.656710000000000,-64.813230000000004,0
138,2025,4176,OPEN,0,40819,PVMTDEEP,DEEP,17.644800000000000,-64.876249999999999,0
139,2025,4177,OPEN,0,115887,PVMTDEEP,DEEP,17.676649999999999,-64.749960000000002,0
140,2025,4178,OPEN,0,40843,PVMTDEEP,DEEP,17.644880000000001,-64.864869999999996,0
141,2025,4179,OPEN,0,129145,AGRFDEEP,DEEP,17.682440000000000,-64.722660000000005,0
142,2025,4180,OPEN,0,72892,AGRFDEEP,DEEP,17.658639999999998,-64.794889999999995,0
143,2025,4181,OPEN,0,28735,AGRFDEEP,DEEP,17.639990000000001,-64.868660000000006,0
144,2025,4185,BUIS,0,404423,PVMTSHLW,SHLW,17.796330000000001,-64.592920000000007,0
145,2025,4186,BUIS,0,366915,PVMTSHLW,SHLW,17.780660000000001,-64.643730000000005,0
146,2025,4187,BUIS,0,389034,AGRFSHLW,SHLW,17.790120000000002,-64.587540000000004,0
147,2025,4188,BUIS,0,399923,PVMTSHLW,SHLW,17.794210000000000,-64.640060000000005,0
148,2025,4189,BUIS,0,421969,PVMTSHLW,SHLW,17.803439999999998,-64.618290000000002,0
149,2025,4190,BUIS,0,404337,AGRFSHLW,SHLW,17.795909999999999,-64.633340000000004,0
150,2025,4191,BUIS,0,404343,PVMTSHLW,SHLW,17.796119999999998,-64.630480000000006,0
151,2025,4192,BUIS,0,425233,PVMTDEEP,DEEP,17.804780000000001,-64.635120000000001,0
152,2025,4193,BUIS,0,390114,PVMTSHLW,SHLW,17.790510000000001,-64.597149999999999,0
153,2025,4194,EEMP,0,171095,PVMTSHLW,SHLW,17.700209999999998,-64.652389999999997,0
154,2025,4195,EEMP,0,363602,PVMTSHLW,SHLW,17.779170000000001,-64.649519999999995,0
155,2025,4196,EEMP,0,336238,AGRFSHLW,SHLW,17.768480000000000,-64.585570000000004,0
156,2025,4197,EEMP,0,195308,PVMTSHLW,SHLW,17.710270000000001,-64.646330000000006,0
157,2025,4198,OPEN,0,464034,PVMTSHLW,SHLW,17.821359999999999,-64.493549999999999,0
158,2025,4199,OPEN,0,217895,AGRFSHLW,SHLW,17.717420000000001,-64.888210000000001,0
159,2025,4200,OPEN,0,335721,AGRFSHLW,SHLW,17.766200000000001,-64.829409999999996,0
160,2025,4202,OPEN,0,365465,PVMTSHLW,SHLW,17.778739999999999,-64.808610000000002,0
161,2025,4203,SARI,0,387587,PVMTSHLW,SHLW,17.788329999999998,-64.751320000000007,0
162,2025,4204,SARI,0,388688,PVMTSHLW,SHLW,17.788770000000000,-64.750820000000004,0
163,2025,4205,SARI,0,384275,PVMTSHLW,SHLW,17.786829999999998,-64.756990000000002,0
164,2025,4206,OPEN,0,93792,AGRFSHLW,SHLW,17.667280000000002,-64.794520000000006,0
165,2025,4207,OPEN,0,71639,SCRSHLW,SHLW,17.657440000000001,-64.866910000000004,0
166,2025,4209,OPEN,0,151209,PVMTSHLW,SHLW,17.691710000000000,-64.692760000000007,0
167,2025,4211,OPEN,0,172102,PVMTSHLW,SHLW,17.700160000000000,-64.696129999999997,0
168,2025,4212,OPEN,0,62889,PVMTSHLW,SHLW,17.654250000000001,-64.843260000000001,0
169,2025,4213,OPEN,0,133553,PVMTSHLW,SHLW,17.684139999999999,-64.719189999999998,0
170,2025,4214,OPEN,0,67187,PVMTSHLW,SHLW,17.655590000000000,-64.891199999999998,0
171,2025,4215,OPEN,0,76133,AGRFSHLW,SHLW,17.659800000000001,-64.822410000000005,0
172,2025,4217,BUIS,0,369209,AGRFSHLW,SHLW,17.781790000000001,-64.599400000000003,0
173,2025,4218,BUIS,0,381341,SCRDEEP,DEEP,17.786930000000002,-64.584400000000002,0
174,2025,4219,BUIS,0,3076563,PTRFDEEP,DEEP,17.773050000000001,-64.600759999999994,0
175,2025,4220,BUIS,0,393379,PTRFDEEP,DEEP,17.791560000000000,-64.613699999999994,0
