"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","lat","lon"
2025,5248,"STEER",0,18.30843,-64.82489
2025,5249,"STEER",0,18.3101,-64.82545
2025,5251,"OPEN",0,18.1783,-64.88662
2025,5259,"OPEN",0,18.23888,-64.85188
2025,5285,"OPEN",0,18.31491,-64.65851
2025,5286,"OPEN",0,18.36336,-64.64008
2025,5287,"OPEN",0,18.32261,-64.65479
2025,5288,"OPEN",0,18.31365,-64.68822
2025,5295,"VICR",0,18.34112,-64.69422
2025,5298,"VIIS",0,18.35787,-64.77048
2025,5299,"VIIS",0,18.36215,-64.78229
2025,5300,"VIIS",0,18.36017,-64.76783
2025,5302,"VIIS",0,18.36336,-64.75481
2025,5304,"VIIS",0,18.36041,-64.7816
2025,5306,"VIIS",0,18.36111,-64.78217
2025,5307,"OPEN",0,18.30171,-64.81914
2025,5310,"OPEN",0,18.30045,-64.87476
2025,5316,"OPEN",0,18.38351,-64.98893
2025,5317,"OPEN",0,18.36287,-65.0176
2025,5321,"OPEN",0,18.32576,-64.97438
2025,5322,"OPEN",0,18.30147,-64.87362
2025,5323,"OPEN",0,18.3681,-65.0433
2025,5324,"OPEN",0,18.35633,-65.04745
2025,5325,"OPEN",0,18.35761,-65.05302
2025,5326,"OPEN",0,18.3249,-64.97308
2025,5337,"VIIS",0,18.31593,-64.756
2025,5338,"VIIS",0,18.35499,-64.76737
2025,5340,"VIIS",0,18.36053,-64.75935
2025,5343,"OPEN",0,18.3128,-64.9144
2025,5344,"OPEN",0,18.34871,-64.99665
2025,5347,"OPEN",0,18.30805,-64.90542
2025,5350,"OPEN",0,18.3451,-65.00329
2025,5353,"OPEN",0,18.34238,-64.81724
2025,5359,"VIIS",0,18.30238,-64.70358
2025,5361,"OPEN",0,18.3611,-65.04594
2025,5362,"OPEN",0,18.31704,-64.99101
2025,5364,"OPEN",0,18.3199,-64.94484
2025,5365,"OPEN",0,18.33526,-65.08068
2025,5366,"OPEN",0,18.34193,-65.02901
2025,5367,"OPEN",0,18.32662,-64.83969
2025,5369,"STEER",0,18.31341,-64.82352
2025,5383,"VIIS",0,18.36732,-64.77202
2025,5399,"OPEN",0,18.27477,-64.85121
2025,5401,"OPEN",0,18.27311,-64.83986
2025,5403,"VICR",0,18.28159,-64.70115
2025,5407,"OPEN",0,18.35601,-64.8162
2025,5409,"OPEN",0,18.34611,-64.81629
2025,5413,"OPEN",0,18.36801,-64.7963
2025,5422,"VIIS",0,18.31639,-64.74174
2025,5424,"VIIS",0,18.36228,-64.76964
2025,5431,"OPEN",0,18.37724,-65.05971
2025,5435,"OPEN",0,18.36593,-65.031
2025,5439,"OPEN",0,18.37524,-64.95535
2025,5440,"OPEN",0,18.36333,-64.87426
2025,5443,"OPEN",0,18.29778,-64.88729
2025,5457,"OPEN",0,18.31832,-64.68751
2025,5462,"VIIS",0,18.36059,-64.77975
2025,5463,"VIIS",0,18.32052,-64.74614
2025,5464,"VIIS",0,18.35893,-64.77725
2025,5465,"VIIS",0,18.35849,-64.76874
2025,5466,"VIIS",0,18.36927,-64.75888
2025,5471,"OPEN",0,18.33547,-65.08154
2025,5472,"OPEN",0,18.33572,-65.08202
2025,5485,"VIIS",0,18.30493,-64.71228
2025,5600,"STEER",0,18.30237,-64.83754
2025,5601,"STEER",0,18.3106,-64.84387
2025,5602,"STEER",0,18.3122,-64.85632
2025,5603,"STEER",0,18.30281,-64.84563
2025,5604,"STEER",0,18.31163,-64.85676
2025,5605,"STEER",0,18.30279,-64.84664
2025,5606,"STEER",0,18.32086,-64.83695
2025,5607,"STEER",0,18.30771,-64.85615
2025,5608,"STEER",0,18.30755,-64.86092
2025,5609,"STEER",0,18.31871,-64.83616
2025,5610,"STEER",0,18.30553,-64.86581
2025,5611,"STEER",0,18.31074,-64.85805
2025,5612,"STEER",0,18.30731,-64.84952
2025,5613,"STEER",0,18.30878,-64.83482
2025,5614,"STEER",0,18.30194,-64.87743
2025,5615,"STEER",0,18.30382,-64.84769
2025,5616,"STEER",0,18.31515,-64.83687
2025,5617,"STEER",0,18.31363,-64.86064
2025,5618,"STEER",0,18.30746,-64.8324
2025,5619,"STEER",0,18.30643,-64.84827
2025,5620,"STEER",0,18.30158,-64.8361
2025,5621,"STEER",0,18.3017,-64.83123
2025,5622,"STEER",0,18.31692,-64.8317
2025,5623,"STEER",0,18.32175,-64.84169
2025,5624,"STEER",0,18.30509,-64.84769
2025,5625,"STEER",0,18.31961,-64.83232
2025,5626,"STEER",0,18.32149,-64.83143
2025,5627,"STEER",0,18.30958,-64.84427
2025,5628,"STEER",0,18.3208,-64.83132
2025,5629,"STEER",0,18.30372,-64.8447
2025,5630,"STEER",0,18.31194,-64.83107
2025,5631,"STEER",0,18.31172,-64.85853
2025,5632,"STEER",0,18.30913,-64.8259
2025,5633,"STEER",0,18.3144,-64.84354
2025,5634,"STEER",0,18.30955,-64.84141
2025,5635,"STEER",0,18.30244,-64.8371
2025,5636,"STEER",0,18.30733,-64.8262
2025,5637,"STEER",0,18.31206,-64.86041
2025,5638,"STEER",0,18.31544,-64.85096
2025,5639,"STEER",0,18.31323,-64.83174
2025,5641,"STEER",0,18.30237,-64.84478
2025,5647,"STEER",0,18.30874,-64.84605
2025,5650,"STEER",0,18.30066,-64.83524
2025,5651,"STEER",0,18.32237,-64.83305
2025,5654,"STEER",0,18.30243,-64.84376
2025,5668,"STEER",0,18.32117,-64.84156
2025,5672,"STEER",0,18.30922,-64.83275
2025,5677,"STEER",0,18.32299,-64.83352
2025,5681,"STEER",0,18.3033,-64.84665
2025,5683,"STEER",0,18.31241,-64.84296
2025,5686,"STEER",0,18.32103,-64.84122
2025,5687,"STEER",0,18.30864,-64.84658
2025,5688,"STEER",0,18.30322,-64.84711
2025,5690,"STEER",0,18.29987,-64.83315
2025,5691,"STEER",0,18.30653,-64.8608
2025,5694,"STEER",0,18.301,-64.83566
2025,5697,"STEER",0,18.29975,-64.83377
2025,5698,"STEER",0,18.30625,-64.85661
2025,5704,"STEER",0,18.31454,-64.8534
2025,5709,"STEER",0,18.30652,-64.82538
2025,5718,"STEER",0,18.31065,-64.8329
2025,5900,"VIIS",0,18.31639,-64.76189
2025,5901,"OPEN",0,18.30777,-64.96725
2025,5902,"VIIS",0,18.31444,-64.76022
2025,5903,"OPEN",0,18.30094,-64.87449
