"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","MAPGRID_NR","STRAT","DEPTH_STRAT","lat","lon"
2025,4101,"BUIS",0,440636,"PVMTDEEP","DEEP",17.81075,-64.63371
2025,4102,"BUIS",0,406670,"PVMTDEEP","DEEP",17.79757,-64.57041
2025,4103,"BUIS",0,435153,"AGRFDEEP","DEEP",17.80879,-64.62587
2025,4104,"BUIS",0,408841,"PVMTDEEP","DEEP",17.79839,-64.58437
2025,4105,"BUIS",0,424204,"AGRFDEEP","DEEP",17.80442,-64.60162
2025,4108,"BUIS",0,398958,"PVMTDEEP","DEEP",17.79444,-64.57645
2025,4109,"BUIS",0,431860,"AGRFDEEP","DEEP",17.80752,-64.62242
2025,4110,"BUIS",0,405546,"PVMTDEEP","DEEP",17.79697,-64.58176
2025,4111,"BUIS",0,398949,"PVMTDEEP","DEEP",17.79437,-64.58043
2025,4112,"EEMP",0,361581,"PVMTDEEP","DEEP",17.77887,-64.56537
2025,4113,"EEMP",0,301180,"AGRFDEEP","DEEP",17.75445,-64.51826
2025,4114,"EEMP",0,402325,"AGRFDEEP","DEEP",17.79582,-64.54454
2025,4116,"EEMP",0,317630,"PVMTDEEP","DEEP",17.76118,-64.54211
2025,4118,"EEMP",0,214130,"PVMTDEEP","DEEP",17.71827,-64.58894
2025,4119,"EEMP",0,204175,"PVMTDEEP","DEEP",17.71386,-64.61483
2025,4121,"EEMP",0,206376,"PVMTDEEP","DEEP",17.71492,-64.61397
2025,4122,"EEMP",0,219659,"AGRFDEEP","DEEP",17.72051,-64.57526
2025,4123,"EEMP",0,306691,"PVMTDEEP","DEEP",17.7568,-64.51313
2025,4124,"EEMP",0,377000,"PVMTDEEP","DEEP",17.7854,-64.55613
2025,4125,"EEMP",0,163435,"AGRFDEEP","DEEP",17.69711,-64.63328
2025,4129,"EEMP",0,182216,"AGRFDEEP","DEEP",17.70505,-64.59528
2025,4131,"EEMP",0,154603,"PVMTDEEP","DEEP",17.69351,-64.64822
2025,4132,"EEMP",0,391305,"AGRFDEEP","DEEP",17.79134,-64.55424
2025,4134,"EEMP",0,382543,"AGRFDEEP","DEEP",17.78776,-64.53601
2025,4135,"EEMP",0,252680,"PVMTDEEP","DEEP",17.73445,-64.56533
2025,4137,"OPEN",0,418948,"PTRFDEEP","DEEP",17.80329,-64.48688
2025,4138,"OPEN",0,369454,"PVMTDEEP","DEEP",17.78267,-64.48378
2025,4139,"OPEN",0,420073,"AGRFDEEP","DEEP",17.80365,-64.47476
2025,4140,"OPEN",0,445418,"AGRFDEEP","DEEP",17.8143,-64.454
2025,4141,"OPEN",0,439796,"AGRFDEEP","DEEP",17.81133,-64.51141
2025,4142,"OPEN",0,359542,"AGRFDEEP","DEEP",17.77846,-64.48948
2025,4143,"BUIS",0,403267,"AGRFDEEP","DEEP",17.79565,-64.61924
2025,4144,"OPEN",0,395929,"AGRFDEEP","DEEP",17.79378,-64.4486
2025,4146,"OPEN",0,401391,"PVMTDEEP","DEEP",17.7959,-64.46633
2025,4147,"OPEN",0,438665,"PVMTDEEP","DEEP",17.8111,-64.52572
2025,4148,"OPEN",0,450913,"PVMTDEEP","DEEP",17.81629,-64.45613
2025,4149,"OPEN",0,455292,"PVMTDEEP","DEEP",17.81796,-64.4661
2025,4150,"OPEN",0,422191,"AGRFDEEP","DEEP",17.80426,-64.51372
2025,4154,"OPEN",0,433238,"AGRFDEEP","DEEP",17.80889,-64.49166
2025,4155,"OPEN",0,406899,"AGRFDEEP","DEEP",17.79841,-64.46284
2025,4156,"OPEN",0,346315,"PTRFDEEP","DEEP",17.77331,-64.50182
2025,4157,"OPEN",0,433306,"PVMTDEEP","DEEP",17.80896,-64.45941
2025,4158,"OPEN",0,385969,"PVMTDEEP","DEEP",17.78971,-64.4769
2025,4161,"OPEN",0,464113,"PVMTDEEP","DEEP",17.82206,-64.45632
2025,4162,"OPEN",0,374407,"AGRFDEEP","DEEP",17.78278,-64.74183
2025,4163,"SARI",0,389787,"PVMTDEEP","DEEP",17.78933,-64.75122
2025,4164,"SARI",0,393088,"PVMTDEEP","DEEP",17.79051,-64.75056
2025,4165,"SARI",0,391983,"PVMTDEEP","DEEP",17.79016,-64.75284
2025,4166,"OPEN",0,65184,"AGRFDEEP","DEEP",17.6554,-64.79861
2025,4167,"OPEN",0,26484,"AGRFDEEP","DEEP",17.63871,-64.89241
2025,4168,"OPEN",0,38613,"PVMTDEEP","DEEP",17.64384,-64.87897
2025,4169,"OPEN",0,112578,"PVMTDEEP","DEEP",17.67537,-64.75448
2025,4170,"OPEN",0,52908,"PVMTDEEP","DEEP",17.64963,-64.88148
2025,4172,"OPEN",0,38600,"PVMTDEEP","DEEP",17.6436,-64.88516
2025,4173,"OPEN",0,68453,"PVMTDEEP","DEEP",17.65671,-64.81323
2025,4176,"OPEN",0,40819,"PVMTDEEP","DEEP",17.6448,-64.87625
2025,4177,"OPEN",0,115887,"PVMTDEEP","DEEP",17.67665,-64.74996
2025,4178,"OPEN",0,40843,"PVMTDEEP","DEEP",17.64488,-64.86487
2025,4179,"OPEN",0,129145,"AGRFDEEP","DEEP",17.68244,-64.72266
2025,4180,"OPEN",0,72892,"AGRFDEEP","DEEP",17.65864,-64.79489
2025,4181,"OPEN",0,28735,"AGRFDEEP","DEEP",17.63999,-64.86866
2025,4185,"BUIS",0,404423,"PVMTSHLW","SHLW",17.79633,-64.59292
2025,4186,"BUIS",0,366915,"PVMTSHLW","SHLW",17.78066,-64.64373
2025,4187,"BUIS",0,389034,"AGRFSHLW","SHLW",17.79012,-64.58754
2025,4188,"BUIS",0,399923,"PVMTSHLW","SHLW",17.79421,-64.64006
2025,4189,"BUIS",0,421969,"PVMTSHLW","SHLW",17.80344,-64.61829
2025,4190,"BUIS",0,404337,"AGRFSHLW","SHLW",17.79591,-64.63334
2025,4191,"BUIS",0,404343,"PVMTSHLW","SHLW",17.79612,-64.63048
2025,4192,"BUIS",0,425233,"PVMTDEEP","DEEP",17.80478,-64.63512
2025,4193,"BUIS",0,390114,"PVMTSHLW","SHLW",17.79051,-64.59715
2025,4194,"EEMP",0,171095,"PVMTSHLW","SHLW",17.70021,-64.65239
2025,4195,"EEMP",0,363602,"PVMTSHLW","SHLW",17.77917,-64.64952
2025,4196,"EEMP",0,336238,"AGRFSHLW","SHLW",17.76848,-64.58557
2025,4197,"EEMP",0,195308,"PVMTSHLW","SHLW",17.71027,-64.64633
2025,4198,"OPEN",0,464034,"PVMTSHLW","SHLW",17.82136,-64.49355
2025,4199,"OPEN",0,217895,"AGRFSHLW","SHLW",17.71742,-64.88821
2025,4200,"OPEN",0,335721,"AGRFSHLW","SHLW",17.7662,-64.82941
2025,4202,"OPEN",0,365465,"PVMTSHLW","SHLW",17.77874,-64.80861
2025,4203,"SARI",0,387587,"PVMTSHLW","SHLW",17.78833,-64.75132
2025,4204,"SARI",0,388688,"PVMTSHLW","SHLW",17.78877,-64.75082
2025,4205,"SARI",0,384275,"PVMTSHLW","SHLW",17.78683,-64.75699
2025,4206,"OPEN",0,93792,"AGRFSHLW","SHLW",17.66728,-64.79452
2025,4207,"OPEN",0,71639,"SCRSHLW","SHLW",17.65744,-64.86691
2025,4209,"OPEN",0,151209,"PVMTSHLW","SHLW",17.69171,-64.69276
2025,4211,"OPEN",0,172102,"PVMTSHLW","SHLW",17.70016,-64.69613
2025,4212,"OPEN",0,62889,"PVMTSHLW","SHLW",17.65425,-64.84326
2025,4213,"OPEN",0,133553,"PVMTSHLW","SHLW",17.68414,-64.71919
2025,4214,"OPEN",0,67187,"PVMTSHLW","SHLW",17.65559,-64.8912
2025,4215,"OPEN",0,76133,"AGRFSHLW","SHLW",17.6598,-64.82241
2025,4217,"BUIS",0,369209,"AGRFSHLW","SHLW",17.78179,-64.5994
2025,4218,"BUIS",0,381341,"SCRDEEP","DEEP",17.78693,-64.5844
2025,4219,"BUIS",0,3076563,"PTRFDEEP","DEEP",17.77305,-64.60076
2025,4220,"BUIS",0,393379,"PTRFDEEP","DEEP",17.79156,-64.6137
2025,4221,"BUIS",0,363716,"AGRFDEEP","DEEP",17.77967,-64.59608
2025,4222,"EEMP",0,339566,"PVMTDEEP","DEEP",17.76986,-64.57211
2025,4226,"EEMP",0,342974,"AGRFDEEP","DEEP",17.7717,-64.52119
2025,4227,"EEMP",0,251618,"SCRDEEP","DEEP",17.73383,-64.54755
2025,4228,"OPEN",0,411266,"PTRFDEEP","DEEP",17.80017,-64.47842
2025,4230,"OPEN",0,3174164,"AGRFDEEP","DEEP",17.81764,-64.52535
2025,4231,"OPEN",0,414558,"AGRFDEEP","DEEP",17.8012,-64.48192
2025,4232,"OPEN",0,401367,"AGRFDEEP","DEEP",17.79595,-64.4778
2025,4233,"OPEN",0,457385,"PVMTDEEP","DEEP",17.81878,-64.51637
2025,4234,"OPEN",0,217891,"PVMTDEEP","DEEP",17.71749,-64.89011
2025,4236,"SARI",0,393081,"PVMTDEEP","DEEP",17.79033,-64.75386
2025,4237,"OPEN",0,90509,"PVMTDEEP","DEEP",17.66593,-64.78692
2025,4238,"OPEN",0,105942,"PVMTDEEP","DEEP",17.67259,-64.77135
2025,4239,"OPEN",0,109252,"SCRDEEP","DEEP",17.67397,-64.76676
2025,4241,"OPEN",0,105937,"SCRDEEP","DEEP",17.67238,-64.7738
2025,4242,"BUIS",0,395556,"AGRFSHLW","SHLW",17.7927,-64.62417
2025,4244,"BUIS",0,392227,"SCRSHLW","SHLW",17.79096,-64.63812
2025,4247,"OPEN",0,328005,"SCRSHLW","SHLW",17.76303,-64.83649
2025,4248,"OPEN",0,100380,"PVMTSHLW","SHLW",17.66991,-64.80025
2025,4249,"OPEN",0,76132,"PVMTSHLW","SHLW",17.65974,-64.82294
2025,4250,"BUIS",0,371365,"AGRFSHLW","SHLW",17.78238,-64.62019
2025,4258,"OPEN",0,269574,"AGRFDEEP","DEEP",17.73865,-64.89831
2025,4259,"OPEN",0,3063999,"PVMTDEEP","DEEP",17.76381,-64.89045
2025,4262,"OPEN",0,273974,"AGRFDEEP","DEEP",17.74033,-64.89834
2025,4279,"OPEN",0,28806,"AGRFDEEP","DEEP",17.64019,-64.83519
2025,4283,"BUIS",0,373570,"AGRFSHLW","SHLW",17.78356,-64.61768
2025,4286,"EEMP",0,3054093,"PTRFSHLW","SHLW",17.75952,-64.59151
2025,4288,"EEMP",0,324096,"AGRFSHLW","SHLW",17.76325,-64.60499
2025,4290,"EEMP",0,329567,"AGRFSHLW","SHLW",17.76533,-64.61876
2025,4293,"OPEN",0,308498,"AGRFSHLW","SHLW",17.7562,-64.6986
2025,4301,"EEMP",0,322883,"BDRKSHLW","SHLW",17.76248,-64.65849
2025,4314,"BUIS",0,399991,"PTRFDEEP","DEEP",17.79444,-64.60791
2025,4315,"BUIS",0,373584,"PTRFDEEP","DEEP",17.78374,-64.611
2025,4316,"BUIS",0,385706,"PTRFDEEP","DEEP",17.78856,-64.60086
2025,4317,"BUIS",0,361517,"AGRFDEEP","DEEP",17.7788,-64.59527
2025,4318,"BUIS",0,398894,"SCRDEEP","DEEP",17.79396,-64.60649
2025,4320,"BUIS",0,404386,"PTRFDEEP","DEEP",17.79626,-64.61042
